input_string,latitude,longitude
RT@champgamo ช่วงนี้ดูเหมือน กทม.จะลมแรงขึ้นป้ายที่ติดตั้งไม่แน่นหนาพอก็หลุดร่วงง่าย ฝากหน่วยงานเกี่ยวข้องดูแลด้วยเ… https://t.co/W8czQn5Lpq,13.7563309,100.5017651
RT@Sandisonfire แยกอสมท. เส้นตรงไปฟอร์จูน เลนซ้ายสุดที่เลี้ยวไปอโศก รถติดเพราะแท็กซี่รอเติมแก๊ส โดยที่ในปั๊มแก๊สไม่… https://t.co/J8k1BIQ18l,13.7583801,100.565395
"""กรุงเทพมหานครจัด 2 กิจกรรมรณรงค์ให้ประชาชนออกไปใช้สิทธิ์เลือกตั้ง",13.7563309,100.5017651
RT @pnsuperior: @js100radio แยกศาลาแดง ฝั่งจามจุรีสแควร์ชอบมีคนมาเช็ดกระจก นี่โดนตะกี้เลยอยู่ดีๆก็เดินมาเช็ดเอง ไม่ได้ขอพอเสร็จเราไม่ให้ตัง…,17.486023199999998,101.72230019999999
"""10.00น. กทม. ฝนตกเขตดอนเมือง หลักสี่ จตุจักร เคลื่อนตัวทิศเหนือ แนวโน้มคงที่",13.8841935,100.57747990000001
